Name,Rating,Reviews,Category,Address,city,country,Website,Phone,Url
Restaurant Variable,4.6,935,Restaurant,"Karolinenstraße 23, 20357 Hamburg, Germany",Bremen,NA,https://www.restaurant-variable.de/,+49 40 4305326,https://www.google.com/maps/place/Restaurant+Variable/data=!4m7!3m6!1s0x47b18f3fdeda7693:0xc514c19e85366e69!8m2!3d53.5591545!4d9.975138!16s%2Fg%2F1tl7msb8!19sChIJk3ba3j-PsUcRaW42hZ7BFMU?authuser=0&hl=en&rclk=1
Old Commercial Room,4.4,"1,726",German restaurant,"Engl. Planke 10, 20459 Hamburg, Germany",Bremen,NA,https://www.oldcommercialroom.de/,+49 40 366319,https://www.google.com/maps/place/Old+Commercial+Room/data=!4m7!3m6!1s0x47b18f0e18917fe3:0x75bfe7934caad472!8m2!3d53.5482843!4d9.9778089!16s%2Fg%2F1td7gsyz!19sChIJ43-RGA6PsUcRctSqTJPnv3U?authuser=0&hl=en&rclk=1
NIKKEI NINE,4.6,884,Restaurant,"Neuer Jungfernstieg 9 14, 20354 Hamburg, Germany",Bremen,NA,https://nikkei-nine.de/de/?utm_source=google+Maps&utm_medium=seo+maps&utm_campaign=seo+maps,NA,https://www.google.com/maps/place/NIKKEI+NINE/data=!4m7!3m6!1s0x47b18f191d6ef11d:0x1afa4d7e5a077e66!8m2!3d53.5554373!4d9.9914611!16s%2Fg%2F11cspksfnd!19sChIJHfFuHRmPsUcRZn4HWn5N-ho?authuser=0&hl=en&rclk=1
CENTRAL,4.6,195,NA,"Lange Reihe 50, 20099 Hamburg, Germany",Bremen,NA,http://www.central-hamburg.de/,+49 40 28053704,https://www.google.com/maps/place/CENTRAL/data=!4m10!3m9!1s0x47b18ee7570ad7db:0x6fb104d5cc651b6d!5m2!4m1!1i2!8m2!3d53.5570509!4d10.0109409!16s%2Fg%2F1td52hcj!19sChIJ29cKV-eOsUcRbRtlzNUEsW8?authuser=0&hl=en&rclk=1
Restaurant Marseille,4.5,295,French restaurant,"Große Elbstraße 164, 22767 Hamburg, Germany",Bremen,NA,http://www.restaurant-marseille.de/,+49 40 41307221,https://www.google.com/maps/place/Restaurant+Marseille/data=!4m7!3m6!1s0x47b18f7eec723803:0x1e9a231b0a12ddf1!8m2!3d53.5446426!4d9.9424419!16s%2Fg%2F1v16pc0n!19sChIJAzhy7H6PsUcR8d0SChsjmh4?authuser=0&hl=en&rclk=1
Brüdigams,4.7,470,Modern European restaurant,"Eppendorfer Weg 98, 20259 Hamburg, Germany",Bremen,NA,http://www.bruedigams.de/,+49 40 57012999,https://www.google.com/maps/place/Br%C3%BCdigams/data=!4m7!3m6!1s0x47b18f51cd066189:0xf521b380e0d2133c!8m2!3d53.5746977!4d9.9624067!16s%2Fg%2F1hc489xbv!19sChIJiWEGzVGPsUcRPBPS4ICzIfU?authuser=0&hl=en&rclk=1
Restaurant Port,4.4,409,German restaurant,"Seewartenstraße 9, 20459 Hamburg, Germany",Bremen,NA,https://www.hotel-hafen-hamburg.de/de/restaurants-und-bars/restaurant-port/,+49 40 3111370400,https://www.google.com/maps/place/Restaurant+Port/data=!4m7!3m6!1s0x47b18f0d2fb0e40f:0x9d62c7c89ec5507d!8m2!3d53.5469697!4d9.9694686!16s%2Fg%2F1tdb3b54!19sChIJD-SwLw2PsUcRfVDFnsjHYp0?authuser=0&hl=en&rclk=1
Restaurant Freudenhaus St. Pauli,4.6,"1,381",German restaurant,"Hein-Hoyer-Straße 7-9, 20359 Hamburg, Germany",Bremen,NA,http://www.stpauli-freudenhaus.de/,+49 40 314642,https://www.google.com/maps/place/Restaurant+Freudenhaus+St.+Pauli/data=!4m7!3m6!1s0x47b18f6dfe2ea9db:0xf7e1dbed7832afe!8m2!3d53.5503623!4d9.9620545!16s%2Fg%2F1tfcs8kl!19sChIJ26ku_m2PsUcR_iqD174dfg8?authuser=0&hl=en&rclk=1
Restaurant Brodersen Hamburg,4.3,"1,060",Fine dining restaurant,"Rothenbaumchaussee 46, 20148 Hamburg, Germany",Bremen,NA,https://www.brodersen-hamburg.de/,+49 160 94677176,https://www.google.com/maps/place/Restaurant+Brodersen+Hamburg/data=!4m7!3m6!1s0x47b18f3b223880d1:0xde058899bcb812b4!8m2!3d53.566693!4d9.9890987!16s%2Fg%2F1thw5spf!19sChIJ0YA4IjuPsUcRtBK4vJmIBd4?authuser=0&hl=en&rclk=1
STOCK's,4.5,"1,482",Restaurant,"An d. Alsterschleife 3, 22399 Hamburg, Germany",Bremen,NA,http://www.stocks.de/,+49 40 6113620,https://www.google.com/maps/place/STOCK%27s/data=!4m7!3m6!1s0x47b2275040716d95:0x3eac2504c9cae8cd!8m2!3d53.6689668!4d10.0910502!16s%2Fg%2F1tfkdn7t!19sChIJlW1xQFAnskcRzejKyQQlrD4?authuser=0&hl=en&rclk=1
Altstädter Stube Willig,4.7,576,German restaurant,"Altstädter Str. 17, 20095 Hamburg, Germany",Bremen,NA,https://altstaedterstube.metro.rest/?lang=de,+49 176 97595215,https://www.google.com/maps/place/Altst%C3%A4dter+Stube+Willig/data=!4m7!3m6!1s0x47b18ee2578099ad:0x6541c56180339f61!8m2!3d53.5493689!4d10.0021066!16s%2Fg%2F1v8gb23r!19sChIJrZmAV-KOsUcRYZ8zgGHFQWU?authuser=0&hl=en&rclk=1
Bless Restaurant Hamburg,4.7,714,Restaurant,"Eppendorfer Weg 186, 20253 Hamburg, Germany",Bremen,NA,http://bless-restaurants.com/hamburg,+49 40 42918080,https://www.google.com/maps/place/Bless+Restaurant+Hamburg/data=!4m7!3m6!1s0x47b18fc87c80b567:0x5aa37863a7ec0c65!8m2!3d53.5809973!4d9.9702531!16s%2Fg%2F11s_w12nph!19sChIJZ7WAfMiPsUcRZQzsp2N4o1o?authuser=0&hl=en&rclk=1
Anno 1905,4.5,"1,241",German restaurant,"Holstenpl. 17, 22765 Hamburg, Germany",Bremen,NA,http://www.anno1905.de/,+49 40 4392535,https://www.google.com/maps/place/Anno+1905/data=!4m7!3m6!1s0x47b18f608db32853:0x275ea1dc2737b4a0!8m2!3d53.5610025!4d9.9480261!16s%2Fg%2F1tl8js3y!19sChIJUyizjWCPsUcRoLQ3J9yhXic?authuser=0&hl=en&rclk=1
Buon Giorno,4.6,"1,894",Italian restaurant,"Michaelisstraße 18, 20459 Hamburg, Germany",Bremen,NA,http://ristorante-buon-giorno.de/index.html,+49 40 36029980,https://www.google.com/maps/place/Buon+Giorno/data=!4m7!3m6!1s0x47b18f1012f74879:0xd2273dc08a8f37ea!8m2!3d53.549441!4d9.9830838!16s%2Fg%2F12lsp9mv3!19sChIJeUj3EhCPsUcR6jePisA9J9I?authuser=0&hl=en&rclk=1
Kornhauskeller,4.6,143,Bistro,"Brandstwiete 50, 20457 Hamburg, Germany",Bremen,NA,http://www.kornhauskeller.com/,+49 40 32527773,https://www.google.com/maps/place/Kornhauskeller/data=!4m7!3m6!1s0x47b18f02b4429a95:0xf7ca866a59b3f48f!8m2!3d53.546604!4d9.996796!16s%2Fg%2F1tmqkvdr!19sChIJlZpCtAKPsUcRj_SzWWqGyvc?authuser=0&hl=en&rclk=1
Brücke 10,4.5,"8,944",Fish restaurant,"St. Pauli-Landungsbrücken 10, 20359 Hamburg, Germany",Bremen,NA,http://www.bruecke10.com/,+49 40 33399339,https://www.google.com/maps/place/Br%C3%BCcke+10/data=!4m7!3m6!1s0x47b18f73a19883f5:0x1e045435a1402e7!8m2!3d53.5454667!4d9.9638471!16s%2Fg%2F1tmqf807!19sChIJ9YOYoXOPsUcR5wIUWkNF4AE?authuser=0&hl=en&rclk=1
NENI Hamburg,4.5,"2,249",Israeli restaurant,"Osakaallee 12, 20457 Hamburg, Germany",Bremen,NA,https://nenifood.com/restaurants/hamburg,+49 40 555575442,https://www.google.com/maps/place/NENI+Hamburg/data=!4m7!3m6!1s0x47b18efde87b0143:0x27bd9b2799c394dd!8m2!3d53.5424092!4d9.9987188!16s%2Fg%2F11cmt204dy!19sChIJQwF76P2OsUcR3ZTDmSebvSc?authuser=0&hl=en&rclk=1
Jacobs Restaurant,4.5,184,Fine dining restaurant,"Elbchaussee 401, 22609 Hamburg, Germany",Bremen,NA,http://www.hotel-jacob.de/,+49 40 82255406,https://www.google.com/maps/place/Jacobs+Restaurant/data=!4m7!3m6!1s0x47b18461b9cea8ab:0x563520cc6f6eec01!8m2!3d53.5503984!4d9.8435937!16s%2Fg%2F1hhwfh79h!19sChIJq6jOuWGEsUcRAexub8wgNVY?authuser=0&hl=en&rclk=1
Restaurant Cox,4.5,572,Restaurant,"Lange Reihe 68, Greifswalder Str. 43, 20099 Hamburg, Germany",Bremen,NA,http://www.restaurant-cox.de/,+49 40 249422,https://www.google.com/maps/place/Restaurant+Cox/data=!4m7!3m6!1s0x47b18edd924917ff:0xaecbf8335b40d2e6!8m2!3d53.5576023!4d10.0116512!16s%2Fg%2F1tcxt93m!19sChIJ_xdJkt2OsUcR5tJAWzP4y64?authuser=0&hl=en&rclk=1
Luigi's,4.2,"10,056",Italian restaurant,"Ditmar-Koel-Straße 21, 20459 Hamburg, Germany",Bremen,NA,https://luigis-restaurant.de/,+49 40 41281718,https://www.google.com/maps/place/Luigi%27s/data=!4m7!3m6!1s0x47b18f0c2fc3559f:0x91fa6460fae3e5ca!8m2!3d53.5456437!4d9.9744475!16s%2Fg%2F1td322q4!19sChIJn1XDLwyPsUcRyuXj-mBk-pE?authuser=0&hl=en&rclk=1
Petit Amour,4.7,128,Fine dining restaurant,"Spritzenpl. 11, 22765 Hamburg, Germany",Bremen,NA,http://petitamour-hh.com/,+49 40 30746556,https://www.google.com/maps/place/Petit+Amour/data=!4m7!3m6!1s0x47b18585e9a9bbaf:0x66b8ea8addcc3e74!8m2!3d53.5514136!4d9.9310747!16s%2Fg%2F11b807cr28!19sChIJr7up6YWFsUcRdD7M3YrquGY?authuser=0&hl=en&rclk=1
Wolfs Junge,4.8,264,Organic restaurant,"Zimmerstraße 30, 22085 Hamburg, Germany",Bremen,NA,http://www.wolfs-junge.de/,+49 40 20965157,https://www.google.com/maps/place/Wolfs+Junge/data=!4m7!3m6!1s0x47b18f0d5ce12287:0x87f7b08355da6db0!8m2!3d53.5746869!4d10.0176187!16s%2Fg%2F11f6qqvy7v!19sChIJhyLhXA2PsUcRsG3aVYOw94c?authuser=0&hl=en&rclk=1
The Tavern,4.8,"1,201",Greek restaurant,"Wandsbeker Chaussee 47, 22089 Hamburg, Germany",Bremen,NA,http://www.dietaverne-hh.de/,+49 40 256562,https://www.google.com/maps/place/The+Tavern/data=!4m7!3m6!1s0x47b18eb70a507763:0x96e93426487bd7f6!8m2!3d53.5669534!4d10.0398796!16s%2Fg%2F11g02c8wsr!19sChIJY3dQCreOsUcR9td7SCY06ZY?authuser=0&hl=en&rclk=1
coast by east Hamburg,4.5,"2,031",Sushi restaurant,"Großer Grasbrook 14, 20457 Hamburg, Germany",Bremen,NA,http://www.coast-hamburg.de/,+49 40 30993230,https://www.google.com/maps/place/coast+by+east+Hamburg/data=!4m7!3m6!1s0x47b18f01915317c1:0x11f3f7a36bd2f463!8m2!3d53.5398083!4d9.9931366!16s%2Fg%2F1pv0vwzvr!19sChIJwRdTkQGPsUcRY_TSa6P38xE?authuser=0&hl=en&rclk=1
Restaurant Fischerhaus by Beyoglu,4.5,"1,716",Seafood restaurant,"St. Pauli Fischmarkt 14, 20359 Hamburg, Germany",Bremen,NA,http://www.restaurant-fischerhaus.de/,+49 40 314053,https://www.google.com/maps/place/Restaurant+Fischerhaus+by+Beyoglu/data=!4m7!3m6!1s0x47b18f7141c26e0b:0xc2d3e88610ad7002!8m2!3d53.545947!4d9.955637!16s%2Fg%2F1tcz7cvq!19sChIJC27CQXGPsUcRAnCtEIbo08I?authuser=0&hl=en&rclk=1
Le Plat du Jour,4.4,899,Restaurant,"Dornbusch 4, 20095 Hamburg, Germany",Bremen,NA,https://www.le-plat-du-jour.de/,+49 40 321414,https://www.google.com/maps/place/Le+Plat+du+Jour/data=!4m7!3m6!1s0x47b18f1cef3144eb:0x6c330db15c4e5d1a!8m2!3d53.54911!4d9.99439!16s%2Fg%2F1tgj_ppm!19sChIJ60Qx7xyPsUcRGl1OXLENM2w?authuser=0&hl=en&rclk=1
Caribbean Restaurant Roatan,4.6,930,Caribbean restaurant,"St. Pauli Fischmarkt 4, 20359 Hamburg, Germany",Bremen,NA,http://www.caribbeanrestaurantroatan.de/,+49 40 30639957,https://www.google.com/maps/place/Caribbean+Restaurant+Roatan/data=!4m7!3m6!1s0x47b18f70b08110b1:0x669aa8c1e6345f60!8m2!3d53.545832!4d9.954236!16s%2Fg%2F1tf6qvjv!19sChIJsRCBsHCPsUcRYF805sGommY?authuser=0&hl=en&rclk=1
LeQuán Hamburg,4.1,395,Vietnamese restaurant,"Große Reichenstraße 7, 20457 Hamburg, Germany",Bremen,NA,https://lequan-asia.de/,+49 40 30394999,https://www.google.com/maps/place/LeQu%C3%A1n+Hamburg/data=!4m7!3m6!1s0x47b18f1d1611b6f1:0xe40a39cddd4f0c85!8m2!3d53.5485085!4d9.9965096!16s%2Fg%2F1jkw99844!19sChIJ8bYRFh2PsUcRhQxP3c05CuQ?authuser=0&hl=en&rclk=1
Alt Helgoländer Fischerstube,4.6,"2,286",Seafood restaurant,"Fischmarkt 4 a-c, 22767 Hamburg, Germany",Bremen,NA,http://www.althelgolaenderfischerstube.de/,+49 40 3194696,https://www.google.com/maps/place/Alt+Helgol%C3%A4nder+Fischerstube/data=!4m7!3m6!1s0x47b18f70a814a093:0xed721af84446f822!8m2!3d53.545842!4d9.953073!16s%2Fg%2F1v2yxybz!19sChIJk6AUqHCPsUcRIvhGRPgacu0?authuser=0&hl=en&rclk=1
Mazza Hamburg,4.4,620,Syrian restaurant,"Moorkamp 5, 20357 Hamburg, Germany",Bremen,NA,https://mazza.hamburg/,+49 40 2841917,https://www.google.com/maps/place/Mazza+Hamburg/data=!4m7!3m6!1s0x47b18f45bc554985:0x495ed16139893e31!8m2!3d53.5700136!4d9.966565!16s%2Fg%2F1tjz2f6d!19sChIJhUlVvEWPsUcRMT6JOWHRXkk?authuser=0&hl=en&rclk=1
DAS PEACE Hamburg,4.6,"1,052",Middle Eastern restaurant,"Karolinenstraße 14, 20357 Hamburg, Germany",Bremen,NA,http://das-peace.de/,+49 40 59458777,https://www.google.com/maps/place/DAS+PEACE+Hamburg/data=!4m7!3m6!1s0x47b18f156c9866e3:0xdf336e01a2326f2!8m2!3d53.558552!4d9.974945!16s%2Fg%2F1tg7r1wr!19sChIJ42aYbBWPsUcR8iYjGuA28w0?authuser=0&hl=en&rclk=1
Casse Croute,4.4,338,Restaurant,"ABC-Straße 44-46, 20354 Hamburg, Germany",Bremen,NA,http://www.casse-croute.de/,+49 40 343373,https://www.google.com/maps/place/Casse+Croute/data=!4m7!3m6!1s0x47b18f19b1b6874f:0x1795abc55000b71!8m2!3d53.5545534!4d9.9862182!16s%2Fg%2F1w97tg22!19sChIJT4e2sRmPsUcRcQsAVbxaeQE?authuser=0&hl=en&rclk=1
clouds Heaven’s Bar & Kitchen,4.4,"3,636",Restaurant,"Reeperbahn 1, 20359 Hamburg, Germany",Bremen,NA,https://www.clouds-hamburg.de/startseite,+49 40 30993280,https://www.google.com/maps/place/clouds+Heaven%E2%80%99s+Bar+%26+Kitchen/data=!4m7!3m6!1s0x47b18f6d58560d69:0x9217c62070c25daf!8m2!3d53.5496882!4d9.9680125!16s%2Fg%2F1yg4fhx17!19sChIJaQ1WWG2PsUcRr13CcCDGF5I?authuser=0&hl=en&rclk=1
Butcher’s american Steakhouse,4.4,359,Steak house,"Milchstraße 19, 20148 Hamburg, Germany",Bremen,NA,http://www.butchers-steakhouse.de/,+49 40 446082,https://www.google.com/maps/place/Butcher%E2%80%99s+american+Steakhouse/data=!4m7!3m6!1s0x47b18f2f13900a6f:0x99201e5f3588fd70!8m2!3d53.5705474!4d9.9973479!16s%2Fg%2F1tfk3h6v!19sChIJbwqQEy-PsUcRcP2INV8eIJk?authuser=0&hl=en&rclk=1
Karo Fisch,4.7,"3,428",Fish restaurant,"Feldstraße 32, 20357 Hamburg, Germany",Bremen,NA,NA,+49 40 60008768,https://www.google.com/maps/place/Karo+Fisch/data=!4m7!3m6!1s0x47b18f6b1e27435d:0x1c7a787a9209082f!8m2!3d53.5575!4d9.9699999!16s%2Fg%2F1pzxjj97v!19sChIJXUMnHmuPsUcRLwgJknp4ehw?authuser=0&hl=en&rclk=1
GOSCH Sylt in der Wandelhalle,4.0,314,Seafood restaurant,"Glockengießerwall 8-10, 20095 Hamburg, Germany",Bremen,NA,http://gosch.de/,+49 40 41543769,https://www.google.com/maps/place/GOSCH+Sylt+in+der+Wandelhalle/data=!4m7!3m6!1s0x47b18ee10d582347:0x3407c3d8232fdc2a!8m2!3d53.5536945!4d10.0062797!16s%2Fg%2F1tfy_58k!19sChIJRyNYDeGOsUcRKtwvI9jDBzQ?authuser=0&hl=en&rclk=1
Fisch & Co.,4.5,"1,323",Seafood restaurant,"Deichstraße 41, 20459 Hamburg, Germany",Bremen,NA,http://fischundco.de/,+49 40 36093480,https://www.google.com/maps/place/Fisch+%26+Co./data=!4m7!3m6!1s0x47b18f04fc025d57:0x95d0d3b0fe4b6ac!8m2!3d53.5455425!4d9.9870584!16s%2Fg%2F11bc7s8nbv!19sChIJV10C_ASPsUcRrLbkDzsNXQk?authuser=0&hl=en&rclk=1
Stadt Restaurant,4.1,86,Restaurant,"Kirchenallee 34-36, 20099 Hamburg, Germany",Bremen,NA,http://www.stadtrestaurant-hamburg.de/,+49 40 3702590,https://www.google.com/maps/place/Stadt+Restaurant/data=!4m7!3m6!1s0x47b18ee31d90f7cb:0xd2326bacb5800048!8m2!3d53.5548134!4d10.0084108!16s%2Fg%2F11bv2l0y61!19sChIJy_eQHeOOsUcRSACAtaxrMtI?authuser=0&hl=en&rclk=1
das weisse haus,4.5,334,Modern European restaurant,"Neumühlen 50, 22763 Hamburg, Germany",Bremen,NA,http://www.das-weisse-haus.de/,+49 40 3909016,https://www.google.com/maps/place/das+weisse+haus/data=!4m7!3m6!1s0x47b18583acdf9d0b:0xfbdc8b6e1de743a!8m2!3d53.54472!4d9.9151!16s%2Fg%2F1tgpx7p3!19sChIJC53frIOFsUcROnTe4bbIvQ8?authuser=0&hl=en&rclk=1
Batman Restaurant,4.1,"2,252",Turkish restaurant,"Steindamm 58, 20099 Hamburg, Germany",Bremen,NA,https://batman-hamburg.doener-curator.com/de/Speisekarte.html,+49 40 2804234,https://www.google.com/maps/place/Batman+Restaurant/data=!4m7!3m6!1s0x47b18ee7b7ff2bdd:0x2b0e0e3d968abc!8m2!3d53.5542088!4d10.0143257!16s%2Fg%2F1thfdh6h!19sChIJ3Sv_t-eOsUcRvIqWPQ4OKwA?authuser=0&hl=en&rclk=1
Restaurant La Fee,4.7,398,German restaurant,"Hofweg 50, 22085 Hamburg, Germany",Bremen,NA,https://www.bistro-lafee.de/,+49 40 18983166,https://www.google.com/maps/place/Restaurant+La+Fee/data=!4m7!3m6!1s0x47b18ed155960855:0x3cddd29a4dbd830!8m2!3d53.5726849!4d10.0158033!16s%2Fg%2F1q5gmnv_r!19sChIJVQiWVdGOsUcRMNjbpCndzQM?authuser=0&hl=en&rclk=1
L'Quán Hamburg City,4.5,408,Vietnamese restaurant,"Spitalerstraße 22 in der Perle Hamburg Perle Hamburg Passage, 20095 Hamburg, Germany",Bremen,NA,http://lquan.de/,+49 40 30061777,https://www.google.com/maps/place/L%27Qu%C3%A1n+Hamburg+City/data=!4m7!3m6!1s0x47b18f1dfeafb913:0x697f48ed6846d3fe!8m2!3d53.5522173!4d9.9999179!16s%2Fg%2F11gdh1vff0!19sChIJE7mv_h2PsUcR_tNGaO1If2k?authuser=0&hl=en&rclk=1
Bistro Kleinod,4.9,405,Bistro,"Schmilinskystraße 19, 20099 Hamburg, Germany",Bremen,NA,http://www.bistro-kleinod.de/,+49 40 46009797,https://www.google.com/maps/place/Bistro+Kleinod/data=!4m7!3m6!1s0x47b18eddb56a1be3:0xde793e965e90423a!8m2!3d53.5593157!4d10.0125243!16s%2Fg%2F11cs65pjw6!19sChIJ4xtqtd2OsUcROkKQXpY-ed4?authuser=0&hl=en&rclk=1
Viet Bowl Hamburg,4.8,"1,852",Vietnamese restaurant,"Gertrudenstraße 13, 20095 Hamburg, Germany",Bremen,NA,https://speisekartenweb.de/restaurants/hamburg/viet-bowl-hamburg-30015?utm_source=google_profile&utm_medium=google_profile&utm_campaign=admin,+49 40 88172219,https://www.google.com/maps/place/Viet+Bowl+Hamburg/data=!4m7!3m6!1s0x47b18f0e98011791:0x2f15605988021d98!8m2!3d53.5532543!4d9.9990847!16s%2Fg%2F11h_48fpd9!19sChIJkRcBmA6PsUcRmB0CiFlgFS8?authuser=0&hl=en&rclk=1
Restaurante Portomarin,4.9,213,Spanish restaurant,"Dorotheenstraße 180, 22299 Hamburg, Germany",Bremen,NA,http://www.portomarin.de/,+49 40 46961547,https://www.google.com/maps/place/Restaurante+Portomarin/data=!4m7!3m6!1s0x47b188da8de22da1:0x63287b16ec845c05!8m2!3d53.5913178!4d10.0024695!16s%2Fg%2F1tdx7s0q!19sChIJoS3ijdqIsUcRBVyE7BZ7KGM?authuser=0&hl=en&rclk=1
Tigre,4.5,"1,409",Latin American restaurant,"Nernstweg 32-34, 22765 Hamburg, Germany",Bremen,NA,https://tigre-hamburg.com/,+49 176 95682901,https://www.google.com/maps/place/Tigre/data=!4m7!3m6!1s0x47b1858fea1ec4ef:0x4d4588672a48710e!8m2!3d53.556311!4d9.9326757!16s%2Fg%2F11c23lnx4g!19sChIJ78Qe6o-FsUcRDnFIKmeIRU0?authuser=0&hl=en&rclk=1
Edelsatt,4.6,562,Restaurant,"Mühlenkamp 8, 22303 Hamburg, Germany",Bremen,NA,http://www.edelsatt.de/,+49 40 69644306,https://www.google.com/maps/place/Edelsatt/data=!4m7!3m6!1s0x47b1892a5e6169cb:0x85bc4616c49bab2d!8m2!3d53.5803598!4d10.012713!16s%2Fg%2F11bt_k2760!19sChIJy2lhXiqJsUcRLaubxBZGvIU?authuser=0&hl=en&rclk=1
Olá Lisboa,4.4,"5,544",Portuguese restaurant,"Ditmar-Koel-Straße 18, 20459 Hamburg, Germany",Bremen,NA,http://ola-lisboa.de/,+49 40 33396250,https://www.google.com/maps/place/Ol%C3%A1+Lisboa/data=!4m7!3m6!1s0x47b18f0c2a35318b:0x178a08d5f25eb399!8m2!3d53.546087!4d9.975282!16s%2Fg%2F11cm6dly66!19sChIJizE1KgyPsUcRmbNe8tUIihc?authuser=0&hl=en&rclk=1
Singh Indian Restaurant,4.4,"2,134",Indian restaurant,"Steindamm 35, 20099 Hamburg, Germany",Bremen,NA,https://www.singhindian.de/,+49 40 25328268,https://www.google.com/maps/place/Singh+Indian+Restaurant/data=!4m7!3m6!1s0x47b18ee7b067c78f:0xd62c5483585c57fd!8m2!3d53.55445!4d10.01365!16s%2Fg%2F11cnbqlw3s!19sChIJj8dnsOeOsUcR_VdcWINULNY?authuser=0&hl=en&rclk=1
Restaurant Rexrodt Hamburg,4.6,219,Restaurant,"Papenhuder Str. 35, 22087 Hamburg, Germany",Bremen,NA,https://www.restaurant-rexrodt.de/,+49 40 2297198,https://www.google.com/maps/place/Restaurant+Rexrodt+Hamburg/data=!4m7!3m6!1s0x47b18edaa02dab71:0x149035fcadd5430e!8m2!3d53.5671847!4d10.0186163!16s%2Fg%2F1tdd49zh!19sChIJcastoNqOsUcRDkPVrfw1kBQ?authuser=0&hl=en&rclk=1
Restaurant L´Orient,4.7,"1,397",Lebanese restaurant,"Bahrenfelder Str. 172, 22765 Hamburg, Germany",Bremen,NA,http://www.restaurant-lorient.de/,+49 40 60785747,https://www.google.com/maps/place/Restaurant+L%C2%B4Orient/data=!4m7!3m6!1s0x47b1858fa30f6a2f:0x3b8653abd62faa65!8m2!3d53.5543075!4d9.9288011!16s%2Fg%2F11bxc66z6y!19sChIJL2oPo4-FsUcRZaov1qtThjs?authuser=0&hl=en&rclk=1
Favoloso,4.1,319,Italian restaurant,"Dammtorstraße 25, 20354 Hamburg, Germany",Bremen,NA,http://www.favoloso.de/,+49 40 35018960,https://www.google.com/maps/place/Favoloso/data=!4m7!3m6!1s0x47b18f183fe2de2b:0x354d354da8bb36be!8m2!3d53.5572381!4d9.9890897!16s%2Fg%2F11cntlhn_7!19sChIJK97iPxiPsUcRvja7qE01TTU?authuser=0&hl=en&rclk=1
Störtebeker Fish Restaurant,4.4,"3,071",Seafood restaurant,"Bernhard-Nocht-Straße 68, 20359 Hamburg, Germany",Bremen,NA,https://www.stoertebeker-fischrestaurant.de/,+49 40 315440,https://www.google.com/maps/place/St%C3%B6rtebeker+Fish+Restaurant/data=!4m7!3m6!1s0x47b18f73b62143cb:0xa07dc86f9b56e29f!8m2!3d53.5467468!4d9.9627209!16s%2Fg%2F1td042z4!19sChIJy0MhtnOPsUcRn-JWm2_IfaA?authuser=0&hl=en&rclk=1
Flickenschildt,4.6,417,Restaurant,"Mundsburger Damm 63, 22087 Hamburg, Germany",Bremen,NA,https://flickenschildt.jimdosite.com/,+49 40 2205152,https://www.google.com/maps/place/Flickenschildt/data=!4m7!3m6!1s0x47b18ecef1835f11:0x76c53fd3588c0c1f!8m2!3d53.5700184!4d10.0261702!16s%2Fg%2F1tmpv0pb!19sChIJEV-D8c6OsUcRHwyMWNM_xXY?authuser=0&hl=en&rclk=1
Gaststätte Zum Brandanfang,4.1,578,Restaurant,"Deichstraße 25, 20459 Hamburg, Germany",Bremen,NA,http://zumbrandanfang.foodpearl.com/,+49 40 365520,https://www.google.com/maps/place/Gastst%C3%A4tte+Zum+Brandanfang/data=!4m7!3m6!1s0x47b18f04e6a094c5:0x3c3bdddb04b8dbea!8m2!3d53.5461023!4d9.9874185!16s%2Fg%2F1v1tm42r!19sChIJxZSg5gSPsUcR6tu4BNvdOzw?authuser=0&hl=en&rclk=1
Restaurant Piment,4.5,219,Fine dining restaurant,"Lehmweg 29, 20251 Hamburg, Germany",Bremen,NA,http://www.restaurant-piment.de/,+49 40 42937788,https://www.google.com/maps/place/Restaurant+Piment/data=!4m7!3m6!1s0x47b188b547a9ef79:0xc0112310e0c99e79!8m2!3d53.5821143!4d9.9793977!16s%2Fg%2F1tfk81qy!19sChIJee-pR7WIsUcReZ7J4BAjEcA?authuser=0&hl=en&rclk=1
Rossio | Tapas e Vinho,4.7,440,Tapas bar,"Wandsbeker Chaussee 117, 22089 Hamburg, Germany",Bremen,NA,http://www.rossiotapas.de/,+49 40 21908991,https://www.google.com/maps/place/Rossio+%7C+Tapas+e+Vinho/data=!4m7!3m6!1s0x47b18eb0dbf62a91:0x8ec5332815b332fd!8m2!3d53.5675489!4d10.0453861!16s%2Fg%2F1v76yq6f!19sChIJkSr227COsUcR_TKzFSgzxY4?authuser=0&hl=en&rclk=1
Jellyfish,4.5,423,Fine dining restaurant,"Weidenallee 12, 20357 Hamburg, Germany",Bremen,NA,http://www.jellyfish-restaurant.de/,+49 40 4105414,https://www.google.com/maps/place/Jellyfish/data=!4m7!3m6!1s0x47b18f4471110feb:0x8a282eef2e69561a!8m2!3d53.5666732!4d9.9654841!16s%2Fg%2F1t_kfkz4!19sChIJ6w8RcUSPsUcRGlZpLu8uKIo?authuser=0&hl=en&rclk=1
